,MonthPE,Date,Season,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2019-02-01,2,2019-02-01,Winter,5.07,12.7,91.9,971.96,166.9,3.44,4.9,89.3,88.7
2019-02-02,2,2019-02-02,Winter,3.4799999999999995,10.16,88.1,986.26,333.5,7.040000000000001,0.0,87.2,87.2
2019-02-03,2,2019-02-03,Winter,3.5100000000000002,6.2,73.6,1008.5799999999999,346.6,5.26,527.3,226.8,61.3
2019-02-04,2,2019-02-04,Winter,2.37,11.040000000000001,74.7,1011.01,197.4,5.9799999999999995,1.3,88.7,88.7
2019-02-05,2,2019-02-05,Winter,3.85,8.129999999999999,79.4,1012.6,176.1,3.06,375.0,201.5,76.2
2019-02-06,2,2019-02-06,Winter,8.190000000000001,20.89,94.7,1007.99,197.2,4.84,0.0,78.8,78.8
2019-02-07,2,2019-02-07,Winter,8.01,9.370000000000001,72.9,1000.1200000000001,251.7,7.279999999999999,463.4,225.2,70.0
2019-02-08,2,2019-02-08,Winter,8.47,15.169999999999998,80.3,997.24,206.8,9.540000000000001,0.0,79.6,79.6
2019-02-09,2,2019-02-09,Winter,8.78,11.39,72.0,997.3100000000001,235.7,8.540000000000001,212.8,190.1,122.3
2019-02-10,2,2019-02-10,Winter,7.63,13.14,84.2,984.65,253.5,10.98,63.9,112.3,87.3
2019-02-11,2,2019-02-11,Winter,5.82,8.59,82.4,1008.6700000000001,311.3,5.16,42.5,122.5,114.7
2019-02-12,2,2019-02-12,Winter,5.1899999999999995,10.01,76.5,1020.8799999999999,230.1,1.9600000000000002,104.4,155.6,130.1
2019-02-13,2,2019-02-13,Winter,4.9799999999999995,9.0,79.6,1020.5200000000001,143.4,3.0,478.4,255.7,77.8
2019-02-14,2,2019-02-14,Winter,6.76,6.590000000000001,70.9,1018.01,140.7,3.12,660.6,284.7,58.4
2019-02-15,2,2019-02-15,Winter,8.818181818181818,6.5181818181818185,65.9090909090909,1014.0454545454545,154.54545454545453,3.2181818181818183,613.7272727272727,265.0,51.36363636363637
2019-02-16,2,2019-02-16,Winter,9.48,7.62,62.6,1011.6200000000001,201.6,2.85,633.9,288.6,69.3
2019-02-17,2,2019-02-17,Winter,11.059999999999999,6.76,47.8,1005.3700000000001,192.4,5.09,622.4,295.7,71.2
2019-02-18,2,2019-02-18,Winter,9.463636363636363,9.018181818181818,64.72727272727273,1002.8181818181819,193.54545454545453,3.5818181818181816,551.7272727272727,269.09090909090907,67.45454545454545
2019-02-19,2,2019-02-19,Winter,7.854545454545455,10.290909090909091,76.9090909090909,1007.4272727272728,243.27272727272728,2.1999999999999997,248.0909090909091,185.27272727272728,100.0
2019-02-20,2,2019-02-20,Winter,7.633333333333333,14.091666666666667,80.5,1008.6833333333334,200.0,3.0749999999999997,252.33333333333334,197.83333333333334,105.41666666666667
2019-02-21,2,2019-02-21,Winter,8.0,9.049999999999999,76.16666666666667,1013.625,228.08333333333334,2.466666666666667,390.0,239.08333333333334,96.5
2019-02-22,2,2019-02-22,Winter,9.025,10.883333333333333,71.5,1019.8249999999999,77.75,2.216666666666667,554.25,266.75,55.416666666666664
2019-02-23,2,2019-02-23,Winter,10.425,8.991666666666667,67.33333333333333,1018.2916666666666,84.91666666666667,3.5416666666666665,600.5833333333334,277.4166666666667,51.25
2019-02-24,2,2019-02-24,Winter,8.758333333333333,7.75,47.166666666666664,1019.8000000000001,86.66666666666667,3.158333333333333,615.1666666666666,283.0833333333333,50.833333333333336
2019-02-25,2,2019-02-25,Winter,10.65,8.983333333333333,49.916666666666664,1019.775,80.25,3.25,614.75,285.8333333333333,50.75
2019-02-26,2,2019-02-26,Winter,11.533333333333333,7.591666666666666,60.333333333333336,1016.8666666666667,111.91666666666667,3.0666666666666664,608.25,291.6666666666667,55.166666666666664
2019-02-27,2,2019-02-27,Winter,12.325000000000001,8.508333333333333,62.583333333333336,1010.8166666666666,214.08333333333334,2.9250000000000003,588.5833333333334,294.0,60.916666666666664
